average,date,highest,lowest,order_count,volume,region_id,type_id,http_last_modified
20.02,2022-10-31,20.02,20.02,1,14285,10000001,18,2022-11-01T11:09:09Z
970,2022-10-31,970,970,4,11509,10000001,20,2022-11-01T11:09:09Z
2500,2022-10-31,2500,2500,1,7,10000001,22,2022-11-01T11:09:09Z
1.85,2022-10-31,1.85,1.85,41,48124790,10000001,34,2022-11-01T11:09:09Z
1.65,2022-10-31,1.65,1.65,37,16591693,10000001,35,2022-11-01T11:09:09Z
50.25,2022-10-31,50.25,50.25,50,4203956,10000001,36,2022-11-01T11:09:09Z
266.1,2022-10-31,266.2,264.2,42,1466941,10000001,37,2022-11-01T11:09:09Z
368.1,2022-10-31,368.1,368.1,38,131792,10000001,38,2022-11-01T11:09:09Z
1110,2022-10-31,1110,1110,12,8134,10000001,39,2022-11-01T11:09:09Z
2999,2022-10-31,2999,2999,18,11427,10000001,40,2022-11-01T11:09:09Z
375.51,2022-10-31,375.51,375.51,4,33748,10000001,43,2022-11-01T11:09:09Z
31,2022-10-31,31,31,4,16000,10000001,185,2022-11-01T11:09:09Z
37,2022-10-31,37,37,1,10000,10000001,190,2022-11-01T11:09:09Z
1200,2022-10-31,1200,1200,1,5000,10000001,202,2022-11-01T11:09:09Z
1059,2022-10-31,1059,1059,1,9000,10000001,203,2022-11-01T11:09:09Z
119,2022-10-31,119,119,1,10000,10000001,207,2022-11-01T11:09:09Z
90,2022-10-31,90,90,1,10000,10000001,208,2022-11-01T11:09:09Z
0.03,2022-10-31,0.03,0.03,1,100,10000001,212,2022-11-01T11:09:09Z
24,2022-10-31,24,24,1,1000,10000001,221,2022-11-01T11:09:09Z
28,2022-10-31,28,28,1,1000,10000001,222,2022-11-01T11:09:09Z
2000,2022-10-31,2000,2000,1,10,10000001,241,2022-11-01T11:09:09Z
14000,2022-10-31,14000,14000,1,3,10000001,246,2022-11-01T11:09:09Z
32880,2022-10-31,32880,32880,1,4,10000001,247,2022-11-01T11:09:09Z
25840,2022-10-31,25840,25840,2,2,10000001,377,2022-11-01T11:09:09Z
692500,2022-10-31,692500,692500,1,1,10000001,380,2022-11-01T11:09:09Z
644200,2022-10-31,644200,644200,1,1,10000001,394,2022-11-01T11:09:09Z
869200,2022-10-31,1082000,550000,4,5,10000001,400,2022-11-01T11:09:09Z
2629000,2022-10-31,2629000,2629000,1,1,10000001,438,2022-11-01T11:09:09Z
4393000,2022-10-31,4393000,4393000,1,1,10000001,440,2022-11-01T11:09:09Z
6739,2022-10-31,6739,6739,1,1,10000001,444,2022-11-01T11:09:09Z
500000,2022-10-31,500000,500000,1,1,10000001,448,2022-11-01T11:09:09Z
50000,2022-10-31,50000,50000,1,2,10000001,450,2022-11-01T11:09:09Z
1000000,2022-10-31,1000000,1000000,1,1,10000001,482,2022-11-01T11:09:09Z
10000,2022-10-31,10000,10000,1,3,10000001,483,2022-11-01T11:09:09Z
33675,2022-10-31,34000,33350,2,6,10000001,486,2022-11-01T11:09:09Z
800000,2022-10-31,800000,800000,1,2,10000001,527,2022-11-01T11:09:09Z
231133.33,2022-10-31,321700,50000,3,3,10000001,530,2022-11-01T11:09:09Z
2990,2022-10-31,2990,2990,1,1,10000001,561,2022-11-01T11:09:09Z
300000,2022-10-31,300000,300000,2,2,10000001,585,2022-11-01T11:09:09Z
150100,2022-10-31,150100,150100,1,1,10000001,594,2022-11-01T11:09:09Z
0.01,2022-10-31,0.01,0.01,1,1,10000001,601,2022-11-01T11:09:09Z
100,2022-10-31,100,100,1,1,10000001,603,2022-11-01T11:09:09Z
500000,2022-10-31,500000,500000,1,1,10000001,605,2022-11-01T11:09:09Z
10000000,2022-10-31,10000000,10000000,1,1,10000001,621,2022-11-01T11:09:09Z
7900000,2022-10-31,7900000,7900000,1,1,10000001,624,2022-11-01T11:09:09Z
150000000,2022-10-31,150000000,150000000,1,1,10000001,638,2022-11-01T11:09:09Z
2300000,2022-10-31,2600000,2000000,2,2,10000001,648,2022-11-01T11:09:09Z
2200000,2022-10-31,2200000,2200000,1,1,10000001,652,2022-11-01T11:09:09Z
3000000,2022-10-31,3200000,2800000,2,2,10000001,656,2022-11-01T11:09:09Z
2000000,2022-10-31,2000000,2000000,1,1,10000001,657,2022-11-01T11:09:09Z
25000,2022-10-31,25000,25000,1,1,10000001,672,2022-11-01T11:09:09Z
7800,2022-10-31,7800,7800,1,1,10000001,1197,2022-11-01T11:09:09Z
19.02,2022-10-31,19.02,19.02,6,19788,10000001,1224,2022-11-01T11:09:09Z
152.6,2022-10-31,152.6,152.6,2,154,10000001,1225,2022-11-01T11:09:09Z
800,2022-10-31,800,800,1,10000,10000001,1227,2022-11-01T11:09:09Z
0.54,2022-10-31,0.54,0.54,4,44633,10000001,1228,2022-11-01T11:09:09Z
7.21,2022-10-31,7.21,7.21,3,33748,10000001,1230,2022-11-01T11:09:09Z
3002,2022-10-31,3002,3002,2,384,10000001,1232,2022-11-01T11:09:09Z
