date,quantity,type,unit_price,total,client,where
2022.11.09 16:53,1,Gamma S,"3,128 ISK","-3,128 ISK",Demavendian,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 16:52,1,Gamma S,"3,128 ISK","-3,128 ISK",ien galaherrr,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 16:14,1,Gamma S,"3,128 ISK","-3,128 ISK",Dof,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 15:53,1,Gamma S,"3,128 ISK","-3,128 ISK",Sunhelg,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 15:19,30,Crash,8 ISK,-243 ISK,R0manych,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 15:05,10,Crash,8 ISK,-81 ISK,da ha,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 14:53,10,Crash,8 ISK,-81 ISK,MacGybo,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 14:47,10,Crash,8 ISK,-81 ISK,Rest Renalard,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 14:45,4,Gamma S,"3,128 ISK","-12,512 ISK",mini Barmen,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 14:36,10,Crash,8 ISK,-81 ISK,Shadow DuskMalik,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 14:23,4,Gamma S,"3,128 ISK","-12,512 ISK",Sephir07h,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 14:07,1,Radio L,"43,640 ISK","-43,640 ISK",Dragon Reckless,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 14:05,1,Gamma S,"3,128 ISK","-3,128 ISK",Bo-roo,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 14:05,6,Gamma S,"3,128 ISK","-18,768 ISK",Dragon Reckless,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 13:57,1,Gamma S,"3,128 ISK","-3,128 ISK",Cukor Falat,Jita IV - Moon 4 - Caldari Navy Assembly Plant
