date,type,amount,balance,description
2022.11.11 12:54,Player Donation,"-1,000,000 ISK","972,811,772 ISK",JustAnAi3 deposited cash into JustanAi2's account
2022.11.10 12:16,Contract Brokers Fee,"-10,000 ISK","973,811,772 ISK",Contract Broker's Fee
2022.11.09 17:11,Contract Brokers Fee,"-10,000 ISK","973,821,772 ISK",Contract Broker's Fee
2022.11.09 17:11,Contract Reward Deposited,"-50,000,000 ISK","973,831,772 ISK",Reward deposited for completing a contract
2022.11.09 17:05,Market Escrow,"753,000 ISK","1,023,831,772 ISK",Market escrow release
2022.11.09 17:05,Market Escrow,550 ISK,"1,023,078,772 ISK",Market escrow release
2022.11.09 17:05,Market Escrow,"137,170 ISK","1,023,078,221 ISK",Market escrow release
2022.11.09 17:05,Market Escrow,"26,617,180 ISK","1,022,941,051 ISK",Market escrow release
2022.11.09 17:05,Market Escrow,"7,463,408 ISK","996,323,871 ISK",Market escrow release
2022.11.09 17:05,Market Escrow,"885,854 ISK","988,860,463 ISK",Market escrow release
2022.11.09 17:05,Market Escrow,"11,355,820 ISK","987,974,608 ISK",Market escrow release
2022.11.09 17:04,Market Escrow,"114,816,840 ISK","976,618,788 ISK",Market escrow release
2022.11.09 17:04,Market Escrow,"45,480 ISK","861,801,948 ISK",Market escrow release
2022.11.09 17:04,Market Escrow,"124,885 ISK","861,756,468 ISK",Market escrow release
2022.11.09 17:04,Market Escrow,"814,440 ISK","861,631,583 ISK",Market escrow release
2022.11.09 17:04,Market Escrow,"202,033 ISK","860,817,143 ISK",Market escrow release
2022.11.09 17:04,Market Escrow,"41,507,560 ISK","860,615,110 ISK",Market escrow release
2022.11.09 17:04,Market Escrow,"391,440,000 ISK","819,107,550 ISK",Market escrow release
2022.11.09 17:04,Market Escrow,"1,233,750 ISK","427,667,550 ISK",Market escrow release
2022.11.09 12:31,Brokers Fee,"-239,902 ISK","426,433,800 ISK",Market order commission to broker authorized by: JustAnAi3
2022.11.09 12:31,Market Escrow,"-19,308 ISK","426,673,702 ISK",Market escrow authorized by: JustAnAi3
2022.11.09 12:31,Brokers Fee,"-17,272 ISK","426,693,011 ISK",Market order commission to broker authorized by: JustAnAi3
2022.11.09 12:31,Market Escrow,"-266,570 ISK","426,710,284 ISK",Market escrow authorized by: JustAnAi3
2022.11.09 12:30,Brokers Fee,"-1,051,785 ISK","426,976,854 ISK",Market order commission to broker authorized by: JustAnAi3
